Ticker,Date Bought,Quantity,Price Bought,Sell Price,Profit,Sell Date,Date,Type,Price,Total,Balance After
AAPL,,50.0,,,,,2025-04-10 09:54:48,SHORT,190.91,9545.5,71378.5
AAPL,,100.0,,,,,2025-04-10 09:54:58,COVER,190.91000366210935,19091.000366210938,90469.50036621094
AAPL,,50.0,,,,,2025-04-10 09:54:59,SHORT,190.83,9541.5,80928.00036621094
AAPL,,50.0,,,,,2025-04-10 09:55:04,COVER,190.8300018310547,9541.500091552734,90469.50045776369
SYSTEM,,0.0,,,,,2025-04-10 10:00:16,RESET,0.0,0.0,100000.0
AMZN,,100.0,,,,,2025-04-10 10:00:27,SHORT,182.85,18285.0,81715.0
AMZN,,100.0,,,,,2025-04-10 10:03:01,COVER,182.58999633789065,18258.999633789062,100000.0
AMZN,,5.0,,,,,2025-04-10 10:03:09,BUY,182.59,912.95,99087.05
AMZN,,10.0,,,,,2025-04-10 10:03:14,BUY,182.46,1824.6,97262.45
AMZN,,5.0,,,,,2025-04-10 10:03:30,SELL,182.52000427246097,912.6000213623048,98175.0500213623
AMZN,,5.0,,,,,2025-04-10 10:03:30,BUY,182.52,912.6,97262.4500213623
AMZN,,5.0,,,,,2025-04-10 10:03:37,SELL,182.4750061035156,912.375030517578,98174.82505187987
SYSTEM,,0.0,,,,,2025-04-10 10:08:05,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-10 10:08:15,SHORT,190.76,19076.0,80924.0
AAPL,,50.0,,,,,2025-04-10 10:08:22,SHORT,190.76,9538.0,71386.0
AAPL,,100.0,,,,,2025-04-10 10:09:04,COVER,190.88999938964844,19088.999938964844,90462.0
AAPL,,50.0,,,,,2025-04-10 10:09:04,SHORT,190.89,9544.5,80917.5
AAPL,,50.0,,,,,2025-04-10 10:09:09,COVER,190.81500244140625,9540.750122070312,90462.0
AAPL,,100.0,,,,,2025-04-10 11:22:16,BUY,184.11,18411.0,72051.0
SYSTEM,,0.0,,,,,2025-04-10 11:40:50,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-10 11:41:00,BUY,186.7,18670.0,81330.0
AAPL,,20.0,,,,,2025-04-10 11:41:08,BUY,186.7,3734.0,77596.0
AAPL,,30.0,,,,,2025-04-10 11:41:22,BUY,186.61,5598.3,71997.7
AMZN,,100.0,,,,,2025-04-10 11:41:57,BUY,178.37,17837.0,54160.7
AMZN,,50.0,,,,,2025-04-10 11:42:14,BUY,178.58,8929.0,45231.7
AMZN,,100.0,,,,,2025-04-10 11:42:29,SELL,178.5135955810547,17851.35955810547,63083.059558105466
AMZN,,100.0,,,,,2025-04-10 11:42:29,BUY,178.51,17851.0,45232.059558105466
AMZN,,100.0,,,,,2025-04-10 11:42:35,SELL,178.5135955810547,17851.35955810547,63083.419116210935
AAPL,,100.0,,,,,2025-04-10 11:42:45,SELL,186.55499267578125,18655.499267578125,81738.91838378906
AAPL,,100.0,,,,,2025-04-10 11:42:45,BUY,186.55,18655.0,63083.91838378906
AAPL,,20.0,,,,,2025-04-10 11:42:45,BUY,186.55,3731.0,59352.91838378906
AAPL,,100.0,,,,,2025-04-10 11:42:51,SELL,186.55499267578125,18655.499267578125,78008.41765136718
AAPL,,100.0,,,,,2025-04-10 11:42:51,BUY,186.55,18655.0,59353.417651367185
AAPL,,100.0,,,,,2025-04-10 11:42:56,SELL,186.83999633789065,18683.999633789062,78037.41728515625
SYSTEM,,0.0,,,,,2025-04-10 11:56:01,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-10 11:56:18,SHORT,186.92,18692.0,81308.0
AAPL,,100.0,,,,,2025-04-10 11:58:02,COVER,187.26730346679688,18726.730346679688,100000.0
SYSTEM,,0.0,,,,,2025-04-10 11:58:15,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-10 12:37:11,SHORT,188.69,18869.0,81131.0
AAPL,,100.0,,,,,2025-04-10 12:37:53,COVER,188.73500061035156,18873.500061035156,100000.0
AAPL,,100.0,,,,,2025-04-10 13:27:09,BUY,191.73,19173.0,80827.0
AAPL,,75.0,,,,,2025-04-10 13:27:27,BUY,191.71,14378.25,66448.75
SYSTEM,,0.0,,,,,2025-04-10 13:43:21,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-10 13:43:34,BUY,191.9,19190.0,80810.0
AAPL,,100.0,,,,,2025-04-10 13:44:14,SELL,191.7400054931641,19174.000549316406,99984.0005493164
AAPL,,1.0,,,,,2025-04-10 13:45:09,BUY,191.75,191.75,99792.2505493164
AAPL,,1.0,,,,,2025-04-10 13:45:11,BUY,191.75,191.75,99600.5005493164
